,advertiser_id,product_id,date,click,impression,rate
928,OAGTYWN8WFC997VLDJH7,5g6zwf,2022-04-25,1.0,1.0,1.0
1184,Y0W3K7OV6ZLILW96OO3K,4359m8,2022-04-25,1.0,1.0,1.0
746,LTRZRCI4M19WYVL6Q6L5,9qfaja,2022-04-25,1.0,1.0,1.0
333,AK81O7W3KGPEN8LABG2N,kp1ptu,2022-04-25,1.0,1.0,1.0
1063,P41C5HK4P2G5GFRMT6ZA,8huvrw,2022-04-25,1.0,1.0,1.0
913,M0LU6DCI1WILGQBZ6808,xxih0d,2022-04-25,1.0,2.0,0.5
173,62FIK8F2YT8JSFDBLEC9,yusr3p,2022-04-25,1.0,2.0,0.5
752,LTRZRCI4M19WYVL6Q6L5,d3nam2,2022-04-25,1.0,3.0,0.3333333333333333
1175,SOVPFK3BBWKTQM9HOHWJ,zfozhl,2022-04-25,1.0,4.0,0.25
838,LW045DVYSGRD75TK6U54,p770x6,2022-04-25,,1.0,0.0
821,LW045DVYSGRD75TK6U54,iiuf2g,2022-04-25,,3.0,0.0
825,LW045DVYSGRD75TK6U54,kudsup,2022-04-25,,2.0,0.0
824,LW045DVYSGRD75TK6U54,k5o7cp,2022-04-25,,1.0,0.0
844,LW045DVYSGRD75TK6U54,skp00h,2022-04-25,,1.0,0.0
823,LW045DVYSGRD75TK6U54,jgiuqn,2022-04-25,,1.0,0.0
845,LW045DVYSGRD75TK6U54,sy786y,2022-04-25,,2.0,0.0
822,LW045DVYSGRD75TK6U54,isu1fp,2022-04-25,,1.0,0.0
820,LW045DVYSGRD75TK6U54,i9pweb,2022-04-25,,1.0,0.0
837,LW045DVYSGRD75TK6U54,p1hy49,2022-04-25,,2.0,0.0
819,LW045DVYSGRD75TK6U54,i0qgez,2022-04-25,,2.0,0.0
818,LW045DVYSGRD75TK6U54,gc03de,2022-04-25,,1.0,0.0
817,LW045DVYSGRD75TK6U54,g4kx7j,2022-04-25,,2.0,0.0
815,LW045DVYSGRD75TK6U54,exo4et,2022-04-25,,1.0,0.0
814,LW045DVYSGRD75TK6U54,ehwog3,2022-04-25,,1.0,0.0
813,LW045DVYSGRD75TK6U54,e9cu5g,2022-04-25,,1.0,0.0
826,LW045DVYSGRD75TK6U54,kw3xu7,2022-04-25,,1.0,0.0
827,LW045DVYSGRD75TK6U54,ll2y1z,2022-04-25,,1.0,0.0
828,LW045DVYSGRD75TK6U54,mg6v2r,2022-04-25,,1.0,0.0
843,LW045DVYSGRD75TK6U54,s8ge57,2022-04-25,,3.0,0.0
790,LTRZRCI4M19WYVL6Q6L5,yzfgkg,2022-04-25,,1.0,0.0
789,LTRZRCI4M19WYVL6Q6L5,xk6z5w,2022-04-25,,3.0,0.0
788,LTRZRCI4M19WYVL6Q6L5,w742e3,2022-04-25,,1.0,0.0
787,LTRZRCI4M19WYVL6Q6L5,vmsu4u,2022-04-25,,1.0,0.0
786,LTRZRCI4M19WYVL6Q6L5,v8z9z7,2022-04-25,,1.0,0.0
785,LTRZRCI4M19WYVL6Q6L5,v26dhi,2022-04-25,,1.0,0.0
784,LTRZRCI4M19WYVL6Q6L5,slx55h,2022-04-25,,1.0,0.0
783,LTRZRCI4M19WYVL6Q6L5,s9qhny,2022-04-25,,1.0,0.0
782,LTRZRCI4M19WYVL6Q6L5,rurlw0,2022-04-25,,1.0,0.0
781,LTRZRCI4M19WYVL6Q6L5,rl1d4z,2022-04-25,,1.0,0.0
780,LTRZRCI4M19WYVL6Q6L5,r57i9v,2022-04-25,,2.0,0.0
779,LTRZRCI4M19WYVL6Q6L5,qylzkl,2022-04-25,,1.0,0.0
778,LTRZRCI4M19WYVL6Q6L5,qsbbem,2022-04-25,,3.0,0.0
777,LTRZRCI4M19WYVL6Q6L5,p4qwq2,2022-04-25,,2.0,0.0
776,LTRZRCI4M19WYVL6Q6L5,ok8yl1,2022-04-25,,1.0,0.0
896,M0LU6DCI1WILGQBZ6808,pqabtg,2022-04-25,,2.0,0.0
